checkpoint path: /data_2/projects/PseNet/ckpt/wh0603--0609-0702_pretrain_ic17
init lr: 0.00010000
('schedule: ', [30, 60])
/data_1/software/anaconda/envs/PSENet/lib/python2.7/site-packages/torch/nn/functional.py:2457: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/data_1/software/anaconda/envs/PSENet/lib/python2.7/site-packages/torch/nn/functional.py:2539: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode))
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210603/data4train/pse_wh_200_right/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210603/data4train/pse_wh_200_error_labeled/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210603/data4train/human_check/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210702/data4train/pse_wh_200_error_labeled/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210609/data4train/pse_wh_200_error_labeled/train/img ==========
None
Using pretrained model.

Epoch: [1 | 200] LR: 0.000100
(51/101) Batch: 1.770s | TOTAL: 1min | ETA: 2min | Loss: 0.1206 | Acc_t:  0.9519 | IOU_t:  0.9153 | IOU_k:  0.8693
(52/101) Batch: 1.771s | TOTAL: 2min | ETA: 1min | Loss: 0.1228 | Acc_t:  0.9520 | IOU_t:  0.9157 | IOU_k:  0.8694
(53/101) Batch: 1.770s | TOTAL: 2min | ETA: 1min | Loss: 0.1214 | Acc_t:  0.9520 | IOU_t:  0.9160 | IOU_k:  0.8697
(54/101) Batch: 1.770s | TOTAL: 2min | ETA: 1min | Loss: 0.1201 | Acc_t:  0.9519 | IOU_t:  0.9161 | IOU_k:  0.8694
(55/101) Batch: 1.775s | TOTAL: 2min | ETA: 1min | Loss: 0.1189 | Acc_t:  0.9517 | IOU_t:  0.9161 | IOU_k:  0.8699
(56/101) Batch: 1.777s | TOTAL: 2min | ETA: 1min | Loss: 0.1208 | Acc_t:  0.9518 | IOU_t:  0.9164 | IOU_k:  0.8701
(57/101) Batch: 1.774s | TOTAL: 2min | ETA: 1min | Loss: 0.1196 | Acc_t:  0.9519 | IOU_t:  0.9165 | IOU_k:  0.8704
(58/101) Batch: 1.771s | TOTAL: 2min | ETA: 1min | Loss: 0.1223 | Acc_t:  0.9522 | IOU_t:  0.9171 | IOU_k:  0.8706
(59/101) Batch: 1.771s | TOTAL: 2min | ETA: 1min | Loss: 0.1212 | Acc_t:  0.9519 | IOU_t:  0.9170 | IOU_k:  0.8702
(60/101) Batch: 1.768s | TOTAL: 2min | ETA: 1min | Loss: 0.1201 | Acc_t:  0.9518 | IOU_t:  0.9171 | IOU_k:  0.8705
(61/101) Batch: 1.769s | TOTAL: 2min | ETA: 1min | Loss: 0.1189 | Acc_t:  0.9517 | IOU_t:  0.9170 | IOU_k:  0.8713
(62/101) Batch: 1.769s | TOTAL: 2min | ETA: 1min | Loss: 0.1178 | Acc_t:  0.9517 | IOU_t:  0.9171 | IOU_k:  0.8714
(63/101) Batch: 1.767s | TOTAL: 2min | ETA: 1min | Loss: 0.1166 | Acc_t:  0.9519 | IOU_t:  0.9175 | IOU_k:  0.8717
(64/101) Batch: 1.766s | TOTAL: 2min | ETA: 1min | Loss: 0.1157 | Acc_t:  0.9520 | IOU_t:  0.9173 | IOU_k:  0.8718
(65/101) Batch: 1.765s | TOTAL: 2min | ETA: 1min | Loss: 0.1150 | Acc_t:  0.9516 | IOU_t:  0.9168 | IOU_k:  0.8710
(66/101) Batch: 1.764s | TOTAL: 2min | ETA: 1min | Loss: 0.1138 | Acc_t:  0.9519 | IOU_t:  0.9173 | IOU_k:  0.8715
(67/101) Batch: 1.762s | TOTAL: 2min | ETA: 1min | Loss: 0.1128 | Acc_t:  0.9520 | IOU_t:  0.9176 | IOU_k:  0.8718
(68/101) Batch: 1.760s | TOTAL: 2min | ETA: 1min | Loss: 0.1120 | Acc_t:  0.9521 | IOU_t:  0.9177 | IOU_k:  0.8718
(69/101) Batch: 1.755s | TOTAL: 2min | ETA: 1min | Loss: 0.1110 | Acc_t:  0.9524 | IOU_t:  0.9181 | IOU_k:  0.8720
(70/101) Batch: 1.753s | TOTAL: 2min | ETA: 1min | Loss: 0.1101 | Acc_t:  0.9527 | IOU_t:  0.9185 | IOU_k:  0.8723
(71/101) Batch: 1.755s | TOTAL: 2min | ETA: 1min | Loss: 0.1091 | Acc_t:  0.9531 | IOU_t:  0.9189 | IOU_k:  0.8732
(72/101) Batch: 1.755s | TOTAL: 2min | ETA: 1min | Loss: 0.1087 | Acc_t:  0.9531 | IOU_t:  0.9190 | IOU_k:  0.8731
(73/101) Batch: 1.757s | TOTAL: 2min | ETA: 1min | Loss: 0.1078 | Acc_t:  0.9532 | IOU_t:  0.9191 | IOU_k:  0.8731
(74/101) Batch: 1.754s | TOTAL: 2min | ETA: 1min | Loss: 0.1071 | Acc_t:  0.9533 | IOU_t:  0.9190 | IOU_k:  0.8729
(75/101) Batch: 1.754s | TOTAL: 2min | ETA: 1min | Loss: 0.1062 | Acc_t:  0.9536 | IOU_t:  0.9194 | IOU_k:  0.8732
(76/101) Batch: 1.752s | TOTAL: 2min | ETA: 1min | Loss: 0.1053 | Acc_t:  0.9539 | IOU_t:  0.9198 | IOU_k:  0.8734
(77/101) Batch: 1.752s | TOTAL: 2min | ETA: 1min | Loss: 0.1045 | Acc_t:  0.9541 | IOU_t:  0.9200 | IOU_k:  0.8736
(78/101) Batch: 1.754s | TOTAL: 2min | ETA: 1min | Loss: 0.1038 | Acc_t:  0.9543 | IOU_t:  0.9203 | IOU_k:  0.8738
(79/101) Batch: 1.759s | TOTAL: 2min | ETA: 1min | Loss: 0.1032 | Acc_t:  0.9540 | IOU_t:  0.9199 | IOU_k:  0.8737
(80/101) Batch: 1.758s | TOTAL: 2min | ETA: 1min | Loss: 0.1024 | Acc_t:  0.9543 | IOU_t:  0.9203 | IOU_k:  0.8742
(81/101) Batch: 1.757s | TOTAL: 2min | ETA: 1min | Loss: 0.1020 | Acc_t:  0.9542 | IOU_t:  0.9201 | IOU_k:  0.8742
(82/101) Batch: 1.761s | TOTAL: 2min | ETA: 1min | Loss: 0.1013 | Acc_t:  0.9541 | IOU_t:  0.9200 | IOU_k:  0.8745
(83/101) Batch: 1.762s | TOTAL: 2min | ETA: 1min | Loss: 0.1010 | Acc_t:  0.9541 | IOU_t:  0.9195 | IOU_k:  0.8738
(84/101) Batch: 1.761s | TOTAL: 2min | ETA: 1min | Loss: 0.1031 | Acc_t:  0.9543 | IOU_t:  0.9198 | IOU_k:  0.8742
(85/101) Batch: 1.757s | TOTAL: 2min | ETA: 0min | Loss: 0.1041 | Acc_t:  0.9544 | IOU_t:  0.9201 | IOU_k:  0.8743
(86/101) Batch: 1.753s | TOTAL: 2min | ETA: 0min | Loss: 0.1034 | Acc_t:  0.9547 | IOU_t:  0.9205 | IOU_k:  0.8747
(87/101) Batch: 1.752s | TOTAL: 3min | ETA: 0min | Loss: 0.1028 | Acc_t:  0.9549 | IOU_t:  0.9205 | IOU_k:  0.8747
(88/101) Batch: 1.750s | TOTAL: 3min | ETA: 0min | Loss: 0.1022 | Acc_t:  0.9551 | IOU_t:  0.9207 | IOU_k:  0.8750
(89/101) Batch: 1.748s | TOTAL: 3min | ETA: 0min | Loss: 0.1025 | Acc_t:  0.9551 | IOU_t:  0.9206 | IOU_k:  0.8750
(90/101) Batch: 1.747s | TOTAL: 3min | ETA: 0min | Loss: 0.1021 | Acc_t:  0.9552 | IOU_t:  0.9206 | IOU_k:  0.8751
(91/101) Batch: 1.746s | TOTAL: 3min | ETA: 0min | Loss: 0.1017 | Acc_t:  0.9552 | IOU_t:  0.9206 | IOU_k:  0.8752
